market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Los Angeles Lakers,Los Angeles Lakers,Atlanta Hawks,2026-01-13,0.4745595708322986,126.0909090909091,0.44229995979091274,,,,,,High
ATS,Los Angeles Lakers,Los Angeles Lakers,Atlanta Hawks,2026-01-13,,,,6.149819374084473,3.0,3.1498193740844727,-3.0,,High
ML,Miami Heat,Miami Heat,Phoenix Suns,2026-01-13,0.2359162746962803,-123.63636363636364,0.5528455284552846,,,,,,High
ATS,Miami Heat,Miami Heat,Phoenix Suns,2026-01-13,,,,3.570359230041504,-1.5,5.070359230041504,1.5,,High
TOTAL,Under,Miami Heat,Phoenix Suns,2026-01-13,,,,-4.6713409423828125,230.5,,,225.8286590576172,High
ML,Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,2026-01-13,0.47803750911530263,349.8181818181818,0.2223120452708165,,,,,,High
ATS,Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,2026-01-13,,,,-6.16871452331543,10.5,4.33128547668457,10.5,,High
TOTAL,Under,Golden State Warriors,Portland Trail Blazers,2026-01-13,,,,-4.8970947265625,226.0,,,221.1029052734375,High
ML,Denver Nuggets,New Orleans Pelicans,Denver Nuggets,2026-01-13,0.33841386605131407,-120.27272727272728,0.5460173338836154,,,,,,High
ATS,Denver Nuggets,New Orleans Pelicans,Denver Nuggets,2026-01-13,,,,-6.646978378295898,-1.5,-8.146978378295898,-1.5,,High
TOTAL,Under,New Orleans Pelicans,Denver Nuggets,2026-01-13,,,,-3.0335693359375,233.0,,,229.9664306640625,Medium
ML,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,2026-01-13,0.04116476431909935,-326.54545454545456,0.7655583972719523,,,,,,High
ATS,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,2026-01-13,,,,3.9502716064453125,-9.0,12.950271606445312,9.0,,High
ML,Chicago Bulls,Houston Rockets,Chicago Bulls,2026-01-13,1.1046801563547692,430.0,0.18867924528301888,,,,,,High
ATS,Chicago Bulls,Houston Rockets,Chicago Bulls,2026-01-13,,,,-12.82656478881836,13.0,0.1734352111816406,13.0,,High
TOTAL,Over,Houston Rockets,Chicago Bulls,2026-01-13,,,,6.013610839843722,224.5,,,230.51361083984372,High
ML,Milwaukee Bucks,Milwaukee Bucks,Minnesota Timberwolves,2026-01-13,0.08311143517598046,-142.54545454545453,0.5877061469265367,,,,,,High
