bin_low,bin_high,n,hit_rate,avg_model_prob,avg_implied_prob,avg_edge,avg_ev,roi
0.446,0.501,4258,0.4192108971348051,0.4835372571894736,0.4625112199837013,0.021026037205772202,0.04592553686794443,-0.09422733677782998
0.501,0.555,9922,0.48387421890747834,0.529832834670293,0.4875044076845341,0.04232842698575887,0.08967430165593555,-0.008570479205332788
0.555,0.609,11412,0.501664914125482,0.5826314077333495,0.508797771473725,0.07383363625962451,0.14963067057811474,-0.014362348767747684
0.609,0.663,4499,0.46721493665258945,0.6386619764719675,0.5118796979021298,0.1267822785698375,0.25509727948508876,-0.08725225022893297
0.663,0.717,6610,0.48729198184568834,0.6917615545275362,0.5185749624021665,0.1731865921253698,0.34103804046817676,-0.0612205218021831
0.717,0.771,7676,0.46651902032308495,0.7437064523094228,0.5288227419709096,0.21488371033851306,0.4133809949388301,-0.11520507474587124
0.771,0.825,6559,0.5337703918280226,0.7976807929139473,0.5340489214234927,0.2636318714904546,0.5000770873690166,-0.0010674377835754717
0.825,0.879,4527,0.5131433620499227,0.8490649929434263,0.5404879418437799,0.30857705109964634,0.5780658755355673,-0.05224871195223915
0.879,0.933,1783,0.4739203589455973,0.9017051194911339,0.5429317882609708,0.35877333123016314,0.6672793588801406,-0.1362173449307078
0.933,0.987,362,0.4696132596685083,0.9488786948951622,0.5453884452966863,0.4034902495984759,0.7472895630632437,-0.1481189653097372
