market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Cleveland Cavaliers,Cleveland Cavaliers,Phoenix Suns,2025-12-31,0.018480349964098086,-263.0,0.7245179063360881,,,,,,Low
ATS,Cleveland Cavaliers,Cleveland Cavaliers,Phoenix Suns,2025-12-31,,,,2.127852439880371,-6.5,8.627852439880371,6.5,,Medium
TOTAL,Under,Cleveland Cavaliers,Phoenix Suns,2025-12-31,,,,-9.22845458984375,234.5,,,225.27154541015625,High
ML,Chicago Bulls,Chicago Bulls,New Orleans Pelicans,2025-12-31,0.3921125328036905,-127.9090909090909,0.5612285600319107,,,,,,High
ATS,Chicago Bulls,Chicago Bulls,New Orleans Pelicans,2025-12-31,,,,9.730287551879885,-2.0,11.730287551879885,2.0,,High
TOTAL,Under,Chicago Bulls,New Orleans Pelicans,2025-12-31,,,,-19.429794311523438,248.5,,,229.07020568847656,High
ML,Atlanta Hawks,Atlanta Hawks,Minnesota Timberwolves,2025-12-31,0.0437580117422498,183.8181818181818,0.35233824471492636,,,,,,High
ATS,Atlanta Hawks,Atlanta Hawks,Minnesota Timberwolves,2025-12-31,,,,4.061145067214966,6.0,-1.9388549327850344,-6.0,,High
TOTAL,Under,Atlanta Hawks,Minnesota Timberwolves,2025-12-31,,,,-8.815185546875,239.5,,,230.684814453125,High
ML,Charlotte Hornets,Charlotte Hornets,Golden State Warriors,2025-12-31,0.22746844234451047,447.5,0.182648401826484,,,,,,High
ATS,Golden State Warriors,Charlotte Hornets,Golden State Warriors,2025-12-31,,,,-2.8190231323242205,-8.5,-11.31902313232422,-8.5,,Medium
TOTAL,Under,Charlotte Hornets,Golden State Warriors,2025-12-31,,,,-38.702178955078125,259.5,,,220.79782104492188,High
ATS,Milwaukee Bucks,Milwaukee Bucks,Washington Wizards,2025-12-31,,,,4.819730758666992,-10.5,15.319730758666992,10.5,,High
TOTAL,Under,Milwaukee Bucks,Washington Wizards,2025-12-31,,,,-7.8740997314453125,234.5,,,226.6259002685547,High
ML,Indiana Pacers,Indiana Pacers,Orlando Magic,2025-12-31,0.6853413644086737,157.0,0.38910505836575876,,,,,,High
ATS,Indiana Pacers,Indiana Pacers,Orlando Magic,2025-12-31,,,,7.868435859680176,4.5,3.368435859680176,-4.5,,High
TOTAL,Under,Indiana Pacers,Orlando Magic,2025-12-31,,,,-4.220764160156278,229.0,,,224.77923583984372,High
ML,Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,2025-12-31,1.0716234762029304,714.0,0.12285012285012285,,,,,,High
ATS,Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,2025-12-31,,,,-6.851120948791504,16.0,9.148879051208496,16.0,,High
TOTAL,Under,Oklahoma City Thunder,Portland Trail Blazers,2025-12-31,,,,-4.803619384765597,232.5,,,227.6963806152344,High
ML,Denver Nuggets,Toronto Raptors,Denver Nuggets,2025-12-31,1.1958173566077386,216.72727272727272,0.3157290470723306,,,,,,High
ATS,Denver Nuggets,Toronto Raptors,Denver Nuggets,2025-12-31,,,,-12.701910972595215,7.0,-5.701910972595215,7.0,,High
ML,New York Knicks,San Antonio Spurs,New York Knicks,2025-12-31,0.4066164255176361,121.9090909090909,0.4506349856616141,,,,,,High
ATS,New York Knicks,San Antonio Spurs,New York Knicks,2025-12-31,,,,-4.537112474441528,2.5,-2.0371124744415283,2.5,,High
TOTAL,Under,San Antonio Spurs,New York Knicks,2025-12-31,,,,-10.365219116210966,235.0,,,224.63478088378903,High
