gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022400460,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:12 PM EST),period,start,1,0,1,0022400460
0022400460,4,PT12M00.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,0,0,0,,0,,,0,h,Jump Ball Sengun vs. Lively II: Tip to Dinwiddie,Jump Ball,,1,0,2,0022400460
0022400460,7,PT11M41.00S,1,1610612742,DAL,1629023,Washington,P. Washington,58,-2,6,Missed,1,,,0,v,MISS Washington 6' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,3,0022400460
0022400460,8,PT11M40.00S,1,1610612742,DAL,1641726,Lively II,D. Lively II,0,0,0,,0,,,0,v,Lively II REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,4,0022400460
0022400460,9,PT11M40.00S,1,1610612742,DAL,1641726,Lively II,D. Lively II,0,0,0,Made,1,0,2,2,v,Lively II Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,1,2,5,0022400460
0022400460,10,PT11M18.00S,1,1610612745,HOU,1628415,Brooks,D. Brooks,-61,262,27,Missed,1,,,0,h,MISS Brooks 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,6,0022400460
0022400460,11,PT11M17.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,,,0,v,Washington REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7,0022400460
0022400460,12,PT11M03.00S,1,1610612742,DAL,202681,Irving,K. Irving,38,66,8,Missed,1,,,0,v,MISS Irving 8' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,8,0022400460
0022400460,13,PT11M02.00S,1,1610612745,HOU,1630224,Green,J. Green,0,0,0,,0,,,0,h,Ja. Green REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9,0022400460
0022400460,14,PT10M54.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving P.FOUL (P1.T1) (J.Sterling),Foul,Personal,1,0,10,0022400460
0022400460,16,PT10M47.00S,1,1610612745,HOU,1627832,VanVleet,F. VanVleet,-62,241,25,Missed,1,,,0,h,MISS VanVleet 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,11,0022400460
0022400460,17,PT10M47.00S,1,1610612742,DAL,202691,Thompson,K. Thompson,0,0,0,,0,,,0,v,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,12,0022400460
0022400460,18,PT10M39.00S,1,1610612742,DAL,1641726,Lively II,D. Lively II,32,11,3,Made,1,0,4,4,v,Lively II 3' Turnaround Hook Shot (4 PTS) (Thompson 1 AST),Made Shot,Turnaround Hook Shot,1,2,13,0022400460
0022400460,20,PT10M23.00S,1,1610612745,HOU,1630224,Green,J. Green,36,37,5,Made,1,2,4,6,h,Ja. Green 5' Driving Reverse Layup (2 PTS),Made Shot,Driving Reverse Layup Shot,1,2,14,0022400460
0022400460,82,PT10M04.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,15,0022400460
0022400460,82,PT10M04.00S,1,1610612745,HOU,1631095,Smith Jr.,J. Smith Jr.,0,0,0,,0,,,0,h,Smith Jr. STEAL (1 STL),,,1,0,16,0022400460
0022400460,23,PT09M53.00S,1,1610612745,HOU,1630578,Sengun,A. Sengun,-38,49,6,Missed,1,,,0,h,MISS Sengun 6' Driving Layup,Missed Shot,Driving Layup Shot,1,2,17,0022400460
0022400460,23,PT09M53.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving BLOCK (1 BLK),,,1,2,18,0022400460
0022400460,25,PT09M52.00S,1,0,,1610612745,,,0,0,0,,0,,,0,h,ROCKETS Rebound,Rebound,Unknown,1,0,19,0022400460
