gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022400996,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:41 PM EST),period,start,0,0,1,0022400996
0022400996,4,PT12M00.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,h,Jump Ball Hayes vs. Lopez: Tip to Rollins,Jump Ball,,1,0,2,0022400996
0022400996,7,PT11M42.00S,1,1610612749,MIL,1628398,Kuzma,K. Kuzma,-175,201,27,Missed,1,,,0,v,MISS Kuzma 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3,0022400996
0022400996,8,PT11M38.00S,1,1610612747,LAL,1630692,Goodwin,J. Goodwin,0,0,0,,0,,,0,h,Goodwin REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0022400996
0022400996,9,PT11M20.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,145,245,28,Missed,1,,,0,h,MISS Vincent 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,5,0022400996
0022400996,10,PT11M17.00S,1,1610612749,MIL,1628398,Kuzma,K. Kuzma,0,0,0,,0,,,0,v,Kuzma REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6,0022400996
0022400996,11,PT11M09.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,5,46,5,Made,1,0,2,2,v,Antetokounmpo 5' Driving Floating Bank Jump Shot (2 PTS) (Kuzma 1 AST),Made Shot,Driving Floating Bank Jump Shot,1,2,7,0022400996
0022400996,13,PT10M55.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,9,15,2,Made,1,2,2,4,h,Hayes 2' Cutting Dunk Shot (2 PTS) (Goodwin 1 AST),Made Shot,Cutting Dunk Shot,1,2,8,0022400996
0022400996,15,PT10M37.00S,1,1610612749,MIL,1627752,Prince,T. Prince,-11,141,14,Made,1,2,4,6,v,Prince 14' Fadeaway Jumper (2 PTS) (Antetokounmpo 1 AST),Made Shot,Fadeaway Jump Shot,1,2,9,0022400996
0022400996,17,PT10M21.00S,1,1610612747,LAL,202693,Morris,M. Morris,-153,220,27,Missed,1,,,0,h,MISS Morris 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,10,0022400996
0022400996,18,PT10M21.00S,1,0,,1610612749,,,0,0,0,,0,,,0,v,Bucks Rebound,Rebound,Unknown,0,0,11,0022400996
0022400996,19,PT10M19.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,h,Vincent L.B.FOUL (P1.T1) (D.Collins),Foul,Loose Ball,1,0,12,0022400996
0022400996,21,PT10M06.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,7,15,2,Made,1,2,6,8,v,Antetokounmpo 2' Reverse Layup (4 PTS) (Kuzma 2 AST),Made Shot,Reverse Layup Shot,1,2,13,0022400996
0022400996,23,PT10M06.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,h,Hayes S.FOUL (P1.T2) (P.Fraher),Foul,Shooting,1,0,14,0022400996
0022400996,25,PT10M06.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,v,MISS Antetokounmpo Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,15,0022400996
0022400996,26,PT10M03.00S,1,1610612747,LAL,1629637,Hayes,J. Hayes,0,0,0,,0,,,0,h,Hayes REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,16,0022400996
0022400996,27,PT09M41.00S,1,1610612747,LAL,1630692,Goodwin,J. Goodwin,-39,16,4,Missed,1,,,0,h,MISS Goodwin 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,17,0022400996
0022400996,28,PT09M39.00S,1,1610612749,MIL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,v,Lopez REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,18,0022400996
0022400996,29,PT09M33.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,h,Vincent S.FOUL (P2.T3) (K.Cutler),Foul,Shooting,1,0,19,0022400996
0022400996,31,PT09M33.00S,1,1610612749,MIL,1627752,Prince,T. Prince,0,0,0,,0,2,7,9,v,Prince Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,1,0,20,0022400996
0022400996,32,PT09M33.00S,1,1610612749,MIL,1627752,Prince,T. Prince,0,0,0,,0,2,8,10,v,Prince Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,1,0,21,0022400996
0022400996,33,PT09M21.00S,1,1610612749,MIL,1631157,Rollins,R. Rollins,0,0,0,,0,,,0,v,Rollins S.FOUL (P1.T1) (K.Cutler),Foul,Shooting,1,0,22,0022400996
0022400996,35,PT09M21.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,,,0,h,MISS Vincent Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,23,0022400996
0022400996,36,PT09M21.00S,1,0,,1610612747,,,0,0,0,,0,,,0,h,LAKERS Rebound,Rebound,Normal Rebound,0,0,24,0022400996
0022400996,37,PT09M21.00S,1,1610612747,LAL,1629216,Vincent,G. Vincent,0,0,0,,0,3,8,11,h,Vincent Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,1,0,25,0022400996
0022400996,38,PT09M04.00S,1,1610612749,MIL,201572,Lopez,B. Lopez,37,32,5,Missed,1,,,0,v,MISS Lopez 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,26,0022400996
0022400996,39,PT09M02.00S,1,1610612749,MIL,1628398,Kuzma,K. Kuzma,0,0,0,,0,,,0,v,Kuzma REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,27,0022400996
0022400996,40,PT08M56.00S,1,1610612749,MIL,1628398,Kuzma,K. Kuzma,9,95,10,Made,1,3,10,13,v,Kuzma 10' Driving Hook Shot (2 PTS),Made Shot,Driving Hook Shot,1,2,28,0022400996
0022400996,41,PT08M46.00S,1,0,,1610612747,,,0,0,0,,0,,,0,h,LAKERS Turnover: 8 Second Violation (T#1),Turnover,8 Second Violation,1,0,29,0022400996
0022400996,42,PT08M33.00S,1,1610612749,MIL,1628398,Kuzma,K. Kuzma,-48,65,8,Made,1,3,12,15,v,Kuzma 8' Turnaround Bank Hook Shot (4 PTS),Made Shot,Turnaround Bank Hook Shot,1,2,30,0022400996
