gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,game_id
0022300334,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (6:12 PM EST),period,start,0,0,1,0022300334
0022300334,4,PT12M00.00S,1,1610612749,MIL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,Jump Ball B. Lopez vs. Bagley III: Tip to Lillard,Jump Ball,,1,0,2,0022300334
0022300334,7,PT11M39.00S,1,1610612749,MIL,1630699,Beauchamp,M. Beauchamp,229,6,0,Missed,1,,,0,h,MISS Beauchamp 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3,0022300334
0022300334,8,PT11M35.00S,1,1610612765,DET,1630165,Hayes,K. Hayes,0,0,0,,0,,,0,v,Hayes REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4,0022300334
0022300334,9,PT11M24.00S,1,1610612765,DET,1628963,Bagley III,M. Bagley III,-4,36,4,Missed,1,,,0,v,MISS Bagley III 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,2,5,0022300334
0022300334,9,PT11M24.00S,1,1610612749,MIL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,B. Lopez BLOCK (1 BLK),,,1,2,6,0022300334
0022300334,11,PT11M18.00S,1,1610612749,MIL,203081,Lillard,D. Lillard,0,0,0,,0,,,0,h,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7,0022300334
0022300334,12,PT11M18.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham S.FOUL (P1.T1) (D.Scott),Foul,Shooting,1,0,8,0022300334
0022300334,14,PT11M18.00S,1,1610612749,MIL,1630699,Beauchamp,M. Beauchamp,0,0,0,,0,1,0,1,h,Beauchamp Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,9,0022300334
0022300334,15,PT11M18.00S,1,1610612749,MIL,1630699,Beauchamp,M. Beauchamp,0,0,0,,0,2,0,2,h,Beauchamp Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,10,0022300334
0022300334,16,PT11M08.00S,1,1610612765,DET,202711,Bogdanović,B. Bogdanović,-74,247,26,Missed,1,,,0,v,MISS Bogdanovic 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,11,0022300334
0022300334,17,PT11M05.00S,1,1610612749,MIL,1641748,Jackson Jr.,A. Jackson Jr.,0,0,0,,0,,,0,h,Jackson Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,12,0022300334
0022300334,18,PT10M54.00S,1,1610612749,MIL,203081,Lillard,D. Lillard,-92,27,10,Missed,1,,,0,h,MISS Lillard 10' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,13,0022300334
0022300334,19,PT10M51.00S,1,1610612765,DET,1628963,Bagley III,M. Bagley III,0,0,0,,0,,,0,v,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14,0022300334
0022300334,20,PT10M40.00S,1,1610612765,DET,1628963,Bagley III,M. Bagley III,-66,147,16,Missed,1,,,0,v,MISS Bagley III 16' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,15,0022300334
0022300334,21,PT10M37.00S,1,1610612749,MIL,203507,Antetokounmpo,G. Antetokounmpo,0,0,0,,0,,,0,h,G. Antetokounmpo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,16,0022300334
0022300334,22,PT10M32.00S,1,1610612749,MIL,203081,Lillard,D. Lillard,-233,128,27,Missed,1,,,0,h,MISS Lillard 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,17,0022300334
0022300334,22,PT10M32.00S,1,1610612765,DET,1628963,Bagley III,M. Bagley III,0,0,0,,0,,,0,v,Bagley III BLOCK (1 BLK),,,1,3,18,0022300334
0022300334,24,PT10M28.00S,1,1610612765,DET,1630165,Hayes,K. Hayes,0,0,0,,0,,,0,v,Hayes REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,19,0022300334
